Network,Run,Average Score,Clustering,Crossover,Gini,Initial Clustering,Initial Path Length,Path Length,Step,NumAgents
Forest Agta,153,14961,0.675834786,1,0.179432562,0,0,2.032656023,14,53
Forest Agta,154,12324,0.675834786,1,0.251801976,0,0,2.032656023,8,53
Forest Agta,155,15255,0.675834786,1,0.341631262,0,0,2.032656023,25,53
Forest Agta,156,11190,0.675834786,1,0.160820814,0,0,2.032656023,52,53
Forest Agta,157,12004,0.675834786,1,0.131465612,0,0,2.032656023,246,53
Forest Agta,158,13934,0.675834786,1,0.207135526,0,0,2.032656023,12,53
Forest Agta,159,9532,0.675834786,1,0.102526544,0,0,2.032656023,36,53
Forest Agta,160,9964,0.675834786,0,0,0,0,2.032656023,1000,53
Forest Agta,161,11360,0.675834786,1,0.167449508,0,0,2.032656023,111,53
Forest Agta,162,12368,0.675834786,1,0.177152237,0,0,2.032656023,44,53
Forest Agta,163,12022,0.675834786,1,0.14394365,0,0,2.032656023,247,53
Forest Agta,164,16568,0.675834786,1,0.278805244,0,0,2.032656023,439,53
Forest Agta,165,12016,0.675834786,1,0.151461573,0,0,2.032656023,119,53
Forest Agta,166,11925,0.675834786,1,0.13883628,0,0,2.032656023,227,53
Forest Agta,167,11378,0.675834786,1,0.166942494,0,0,2.032656023,19,53
Forest Agta,168,14408,0.675834786,1,0.176112851,0,0,2.032656023,65,53
Forest Agta,169,9933,0.675834786,1,0.12271654,0,0,2.032656023,34,53
Forest Agta,170,10134,0.675834786,1,0.016458699,0,0,2.032656023,119,53
Forest Agta,171,11245,0.675834786,1,0.109579939,0,0,2.032656023,66,53
Forest Agta,172,12895,0.675834786,1,0.255374688,0,0,2.032656023,26,53
Forest Agta,173,8387,0.675834786,1,0.308289334,0,0,2.032656023,6,53
Forest Agta,174,13558,0.675834786,1,0.184788206,0,0,2.032656023,116,53
Forest Agta,175,11834,0.675834786,1,0.125222815,0,0,2.032656023,291,53
Forest Agta,176,16434,0.675834786,1,0.296187609,0,0,2.032656023,150,53
Forest Agta,177,9379,0.675834786,1,0.14908859,0,0,2.032656023,35,53
Forest Agta,178,13260,0.675834786,1,0.21995219,0,0,2.032656023,107,53
Forest Agta,179,10162,0.675834786,1,0.238487447,0,0,2.032656023,22,53
Forest Agta,180,10486,0.675834786,1,0.074453269,0,0,2.032656023,105,53
Forest Agta,181,10170,0.675834786,1,0.103148365,0,0,2.032656023,65,53
Forest Agta,182,12095,0.675834786,1,0.144310373,0,0,2.032656023,273,53
Forest Agta,183,12174,0.675834786,1,0.137007108,0,0,2.032656023,594,53
Forest Agta,184,12969,0.675834786,1,0.190817872,0,0,2.032656023,15,53
Forest Agta,185,13704,0.675834786,1,0.159628369,0,0,2.032656023,37,53
Forest Agta,186,13285,0.675834786,1,0.16518559,0,0,2.032656023,51,53
Forest Agta,187,9994,0.675834786,1,0.030433354,0,0,2.032656023,34,53
Forest Agta,188,10261,0.675834786,1,0.12179842,0,0,2.032656023,22,53
Forest Agta,189,14554,0.675834786,1,0.154713351,0,0,2.032656023,916,53
Forest Agta,190,10630,0.675834786,1,0.211267506,0,0,2.032656023,14,53
Forest Agta,191,10474,0.675834786,1,0.045935848,0,0,2.032656023,49,53
Forest Agta,192,16836,0.675834786,1,0.206664067,0,0,2.032656023,169,53
Forest Agta,193,22752,0.675834786,1,0.295653876,0,0,2.032656023,447,53
Forest Agta,194,10486,0.675834786,1,0.074453269,0,0,2.032656023,79,53
Forest Agta,195,14092,0.675834786,1,0.197408941,0,0,2.032656023,61,53
Forest Agta,196,9568,0.675834786,1,0.102401085,0,0,2.032656023,32,53
Forest Agta,197,11311,0.675834786,1,0.192252324,0,0,2.032656023,53,53
Forest Agta,198,17794,0.675834786,1,0.289412798,0,0,2.032656023,113,53
Forest Agta,199,13309,0.675834786,1,0.191245249,0,0,2.032656023,60,53
Forest Agta,200,10146,0.675834786,1,0.047231179,0,0,2.032656023,47,53
Forest Agta,201,10134,0.675834786,1,0.016458699,0,0,2.032656023,65,53
Forest Agta,202,10814,0.675834786,1,0.071186547,0,0,2.032656023,364,53
Forest Agta,203,12684,0.675834786,1,0.149705765,0,0,2.032656023,534,53
Forest Agta,204,8698,0.675834786,1,0.222697042,0,0,2.032656023,15,53
Forest Agta,205,16005,0.675834786,1,0.127493177,0,0,2.032656023,16,53
Forest Agta,206,11834,0.675834786,1,0.125222815,0,0,2.032656023,50,53
Forest Agta,207,13625,0.675834786,1,0.166242687,0,0,2.032656023,113,53
Forest Agta,208,9264,0.675834786,1,0.154238766,0,0,2.032656023,12,53
Forest Agta,209,9751,0.675834786,1,0.082774287,0,0,2.032656023,11,53
Forest Agta,210,10656,0.675834786,1,0.086509859,0,0,2.032656023,53,53
Forest Agta,211,12514,0.675834786,1,0.146100518,0,0,2.032656023,278,53
Forest Agta,212,24731,0.675834786,1,0.253218213,0,0,2.032656023,104,53
Forest Agta,213,14214,0.675834786,1,0.157962784,0,0,2.032656023,115,53
Forest Agta,214,12617,0.675834786,1,0.173306156,0,0,2.032656023,56,53
Forest Agta,215,13606,0.675834786,1,0.21989189,0,0,2.032656023,440,53
Forest Agta,216,15282,0.675834786,1,0.16734449,0,0,2.032656023,20,53
Forest Agta,217,10941,0.675834786,1,0.159962613,0,0,2.032656023,84,53
Forest Agta,218,9660,0.675834786,1,0.060779718,0,0,2.032656023,22,53
Forest Agta,219,11202,0.675834786,1,0.180190195,0,0,2.032656023,24,53
Forest Agta,220,13691,0.675834786,1,0.239245448,0,0,2.032656023,4,53
Forest Agta,221,8572,0.675834786,1,0.138771252,0,0,2.032656023,16,53
Forest Agta,222,9276,0.675834786,1,0.099502063,0,0,2.032656023,8,53
Forest Agta,223,10304,0.675834786,1,0.031751729,0,0,2.032656023,194,53
Forest Agta,224,7995,0.675834786,1,0.202197128,0,0,2.032656023,6,53
Forest Agta,225,9848,0.675834786,1,0.075624971,0,0,2.032656023,10,53
Forest Agta,226,13958,0.675834786,1,0.216868936,0,0,2.032656023,14,53
Forest Agta,227,9964,0.675834786,0,0,0,0,2.032656023,1000,53
Forest Agta,228,9017,0.675834786,1,0.123791329,0,0,2.032656023,4,53
Forest Agta,229,8098,0.675834786,1,0.156833507,0,0,2.032656023,14,53
Forest Agta,230,10225,0.675834786,1,0.039577432,0,0,2.032656023,102,53
Forest Agta,231,11585,0.675834786,1,0.125744904,0,0,2.032656023,49,53
Forest Agta,232,13534,0.675834786,1,0.159263462,0,0,2.032656023,122,53
Forest Agta,233,12617,0.675834786,1,0.173306156,0,0,2.032656023,167,53
Forest Agta,234,9520,0.675834786,1,0.074223085,0,0,2.032656023,16,53
Forest Agta,235,13625,0.675834786,1,0.166242687,0,0,2.032656023,52,53
Forest Agta,236,10139,0.675834786,1,0.197686125,0,0,2.032656023,42,53
Forest Agta,237,12775,0.675834786,1,0.159728243,0,0,2.032656023,175,53
Forest Agta,238,9969,0.675834786,1,0.188830658,0,0,2.032656023,16,53
Forest Agta,239,12696,0.675834786,1,0.16659236,0,0,2.032656023,39,53
Forest Agta,240,10644,0.675834786,1,0.059064191,0,0,2.032656023,70,53
Forest Agta,241,12988,0.675834786,1,0.290607876,0,0,2.032656023,12,53
Forest Agta,242,10510,0.675834786,1,0.126057842,0,0,2.032656023,15,53
Forest Agta,243,15397,0.675834786,1,0.236012651,0,0,2.032656023,105,53
Forest Agta,244,10759,0.675834786,1,0.129246774,0,0,2.032656023,51,53
Forest Agta,245,10055,0.675834786,1,0.024296558,0,0,2.032656023,62,53
Forest Agta,246,10158,0.675834786,1,0.076125519,0,0,2.032656023,23,53
Forest Agta,247,12775,0.675834786,1,0.159728243,0,0,2.032656023,69,53
Forest Agta,248,14607,0.675834786,1,0.195866288,0,0,2.032656023,20,53
Forest Agta,249,10134,0.675834786,1,0.016458699,0,0,2.032656023,26,53
Forest Agta,250,17776,0.675834786,1,0.277147054,0,0,2.032656023,119,53
Forest Agta,251,12744,0.675834786,1,0.219429935,0,0,2.032656023,14,53
Forest Agta,252,12233,0.675834786,1,0.276619537,0,0,2.032656023,20,53
Forest Agta,253,12447,0.675834786,1,0.170519228,0,0,2.032656023,46,53
Forest Agta,254,11925,0.675834786,1,0.13883628,0,0,2.032656023,56,53
Forest Agta,255,10249,0.675834786,1,0.096245009,0,0,2.032656023,46,53
Forest Agta,256,15744,0.675834786,1,0.131610485,0,0,2.032656023,192,53
Forest Agta,257,14827,0.675834786,1,0.164348314,0,0,2.032656023,234,53
Forest Agta,258,10844,0.675834786,1,0.096079564,0,0,2.032656023,109,53
Forest Agta,259,9854,0.675834786,1,0.128843377,0,0,2.032656023,18,53
Forest Agta,260,13297,0.675834786,1,0.178916794,0,0,2.032656023,17,53
Forest Agta,261,9538,0.675834786,1,0.183282758,0,0,2.032656023,14,53
Forest Agta,262,12259,0.675834786,1,0.260814157,0,0,2.032656023,15,53
Forest Agta,263,21812,0.675834786,1,0.273327128,0,0,2.032656023,659,53
Forest Agta,264,12599,0.675834786,1,0.192066756,0,0,2.032656023,21,53
Forest Agta,265,14930,0.675834786,1,0.172525875,0,0,2.032656023,36,53
Forest Agta,266,15234,0.675834786,1,0.143596375,0,0,2.032656023,240,53
Forest Agta,267,12514,0.675834786,1,0.146100518,0,0,2.032656023,239,53
Forest Agta,268,12028,0.675834786,1,0.169892891,0,0,2.032656023,18,53
Forest Agta,269,13497,0.675834786,1,0.229087945,0,0,2.032656023,13,53
Forest Agta,270,14056,0.675834786,1,0.170554977,0,0,2.032656023,41,53
Forest Agta,271,10134,0.675834786,1,0.016458699,0,0,2.032656023,210,53
Forest Agta,272,14584,0.675834786,1,0.163373664,0,0,2.032656023,108,53
Forest Agta,273,11899,0.675834786,1,0.233537938,0,0,2.032656023,23,53
Forest Agta,274,20076,0.675834786,1,0.293947152,0,0,2.032656023,348,53
Forest Agta,275,9964,0.675834786,0,0,0,0,2.032656023,1000,53
Forest Agta,276,7137,0.675834786,1,0.199497173,0,0,2.032656023,14,53
Forest Agta,277,7656,0.675834786,1,0.370980462,0,0,2.032656023,7,53
Forest Agta,278,13048,0.675834786,1,0.184636119,0,0,2.032656023,86,53
Forest Agta,279,10134,0.675834786,1,0.016458699,0,0,2.032656023,178,53
Forest Agta,280,12344,0.675834786,1,0.141876276,0,0,2.032656023,495,53
Forest Agta,281,11415,0.675834786,1,0.118063786,0,0,2.032656023,137,53
Forest Agta,282,13333,0.675834786,1,0.21567426,0,0,2.032656023,230,53
Forest Agta,283,11227,0.675834786,1,0.136204668,0,0,2.032656023,67,53
Forest Agta,284,13248,0.675834786,1,0.196643424,0,0,2.032656023,39,53
Forest Agta,285,11415,0.675834786,1,0.118063786,0,0,2.032656023,141,53
Forest Agta,286,15057,0.675834786,1,0.172153364,0,0,2.032656023,16,53
Forest Agta,287,10134,0.675834786,1,0.016458699,0,0,2.032656023,204,53
Forest Agta,288,14578,0.675834786,1,0.173179021,0,0,2.032656023,39,53
Forest Agta,289,13242,0.675834786,1,0.207658308,0,0,2.032656023,62,53
Forest Agta,290,10237,0.675834786,1,0.068840186,0,0,2.032656023,58,53
Forest Agta,291,10067,0.675834786,1,0.054708922,0,0,2.032656023,57,53
Forest Agta,292,20380,0.675834786,1,0.259388598,0,0,2.032656023,264,53
Forest Agta,293,20215,0.675834786,1,0.319943625,0,0,2.032656023,49,53
Forest Agta,294,9921,0.675834786,1,0.096874744,0,0,2.032656023,54,53
Forest Agta,295,18554,0.675834786,1,0.177269408,0,0,2.032656023,170,53
Forest Agta,296,10134,0.675834786,1,0.016458699,0,0,2.032656023,115,53
Forest Agta,297,21478,0.675834786,1,0.27798871,0,0,2.032656023,12,53
Forest Agta,298,12004,0.675834786,1,0.131465612,0,0,2.032656023,305,53
Forest Agta,299,12174,0.675834786,1,0.137007108,0,0,2.032656023,259,53
Coastal Agta,0,7119,0.875415063,1,0.149390857,0,0,1.316816817,19,37
Coastal Agta,1,13784,0.875415063,1,0.314089191,0,0,1.316816817,493,37
Coastal Agta,2,11376,0.875415063,1,0.115511081,0,0,1.316816817,69,37
Coastal Agta,3,7217,0.875415063,1,0.055214977,0,0,1.316816817,164,37
Coastal Agta,4,11162,0.875415063,1,0.293176172,0,0,1.316816817,155,37
Coastal Agta,5,6956,0.875415063,0,0,0,0,1.316816817,1000,37
Coastal Agta,6,10617,0.875415063,1,0.150050022,0,0,1.316816817,240,37
Coastal Agta,7,15314,0.875415063,1,0.266507594,0,0,1.316816817,920,37
Coastal Agta,8,6956,0.875415063,0,0,0,0,1.316816817,1000,37
Coastal Agta,9,6956,0.875415063,0,0,0,0,1.316816817,1000,37
Coastal Agta,10,11036,0.875415063,1,0.129894302,0,0,1.316816817,215,37
Coastal Agta,11,6956,0.875415063,0,0,0,0,1.316816817,1000,37
Coastal Agta,12,12638,0.875415063,1,0.210125619,0,0,1.316816817,732,37
Coastal Agta,13,11886,0.875415063,1,0.089680796,0,0,1.316816817,327,37
Coastal Agta,14,9846,0.875415063,1,0.158659574,0,0,1.316816817,712,37
Coastal Agta,15,11139,0.875415063,1,0.13752023,0,0,1.316816817,127,37
Coastal Agta,16,9796,0.875415063,1,0.270435809,0,0,1.316816817,189,37
Coastal Agta,17,7138,0.875415063,1,0.065996229,0,0,1.316816817,170,37
Coastal Agta,18,8996,0.875415063,1,0.153221251,0,0,1.316816817,692,37
Coastal Agta,19,9846,0.875415063,1,0.158659574,0,0,1.316816817,662,37
Coastal Agta,20,8826,0.875415063,1,0.148884438,0,0,1.316816817,496,37
Coastal Agta,21,11467,0.875415063,1,0.114886667,0,0,1.316816817,194,37
Coastal Agta,22,10696,0.875415063,1,0.141755443,0,0,1.316816817,993,37
Coastal Agta,23,9597,0.875415063,1,0.16887034,0,0,1.316816817,431,37
Coastal Agta,24,16819,0.875415063,1,0.253188559,0,0,1.316816817,56,37
Coastal Agta,25,6956,0.875415063,0,0,0,0,1.316816817,1000,37
Coastal Agta,26,8146,0.875415063,1,0.11844646,0,0,1.316816817,204,37
Coastal Agta,27,6956,0.875415063,0,0,0,0,1.316816817,1000,37
Coastal Agta,28,6956,0.875415063,0,0,0,0,1.316816817,1000,37
Coastal Agta,29,7654,0.875415063,1,0.087528867,0,0,1.316816817,133,37
Coastal Agta,30,8067,0.875415063,1,0.129134713,0,0,1.316816817,520,37
Coastal Agta,31,7727,0.875415063,1,0.105086062,0,0,1.316816817,348,37
Coastal Agta,32,13076,0.875415063,1,0.012649542,0,0,1.316816817,24,37
Coastal Agta,33,8656,0.875415063,1,0.143315682,0,0,1.316816817,849,37
Coastal Agta,34,7296,0.875415063,1,0.044081911,0,0,1.316816817,431,37
Coastal Agta,35,10957,0.875415063,1,0.137845978,0,0,1.316816817,120,37
Coastal Agta,36,22402,0.875415063,1,0.137535983,0,0,1.316816817,501,37
Coastal Agta,37,9336,0.875415063,1,0.158468237,0,0,1.316816817,290,37
Coastal Agta,38,9846,0.875415063,1,0.158659574,0,0,1.316816817,418,37
Coastal Agta,39,9676,0.875415063,1,0.159547725,0,0,1.316816817,277,37
Coastal Agta,40,9087,0.875415063,1,0.166213093,0,0,1.316816817,156,37
Coastal Agta,41,7126,0.875415063,1,0.023211536,0,0,1.316816817,845,37
Coastal Agta,42,10016,0.875415063,1,0.156884121,0,0,1.316816817,753,37
Coastal Agta,43,13014,0.875415063,1,0.251969812,0,0,1.316816817,150,37
